Title,Author,Journal,Abstract,Year,DOI,Publication Type
Striatal changes underlie MPEP-mediated suppression of the acquisition and expression of pramipexole-induced place preference in an alpha-synuclein rat model of Parkinson's disease,"S, Loiodice",,,2017,10.1177/0269881117714051,
Dopamine supersensitivity and D1/D2 synergism are unrelated to changes in striatal receptor density,"GJ, LaHoste",,,1992,10.1002/syn.890120103,
Octopamine and phenylethylamine inhibit prolactin secretion both in vivo and in vitro,"D, Becú-Villalobos",,,1992,10.3181/00379727-199-43352,
The experimental and clinical pharmacology of St John's Wort (Hypericum perforatum L.),"P, Nathan",,,1999,10.1038/sj.mp.4000557,
Craving espresso: the dialetics in classifying caffeine as an abuse drug,"Santos MKF, Dos",,,2018,10.1007/s00210-018-1570-9,
Serotonin (5-HT) drugs: effects on appetite expression and use for the treatment of obesity,"JC, Halford",,,2005,10.2174/1389450053174550,
"Dopamine acting through D2 receptors modulates the expression of PSA-NCAM, a molecule related to neuronal structural plasticity, in the medial prefrontal cortex of adult rats","E, Castillo-Gómez",,,2008,10.1016/j.expneurol.2008.07.018,
"The melanin-concentrating hormone1 receptor antagonists, SNAP-7941 and GW3430, enhance social recognition and dialysate levels of acetylcholine in the frontal cortex of rats","MJ, Millan",,,2008,10.1017/s1461145708008894,
Frontal lobe synaptic plasticity in development and disease: modulation by the dopamine D1 receptor,"LD, Selemon",,,2014,10.2174/1381612819666140110122307,
Pharmacology of [3H]R(+)-7-OH-DPAT binding in the rat caudate-putamen,"M, Hillefors",,,2001,10.1016/s0197-0186(00)00047-4,
The role of dopamine and AMPA/kainate receptors in the nucleus accumbens in the hypermotility response to MK801,"DL, Willins",,,1993,10.1016/0091-3057(93)90217-h,
Effects of γ-Aminobutyric Acid A Receptor Activation on Counterregulatory Responses to Subsequent Exercise in Individuals With Type 1 Diabetes,"MS, Hedrington",,,2016,10.2337/db16-0207,
The immune-mediated alteration of serotonin and glutamate: towards an integrated view of depression,"N, Müller",,,2007,10.1038/sj.mp.4002006,
Sexually dimorphic serotonergic dysfunction in a mouse model of Huntington's disease and depression,"T, Renoir",,,2011,10.1371/journal.pone.0022133,
Stress activation of glutamate neurotransmission in the prefrontal cortex: implications for dopamine-associated psychiatric disorders,"B, Moghaddam",,,2002,10.1016/s0006-3223(01)01362-2,
Continuous stress promotes expression of VGF in melanotroph via suppression of dopamine,"K, Tokizane",,,2013,10.1016/j.mce.2013.03.012,
"Sertraline. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic potential in depression and obsessive-compulsive disorder","D, Murdoch",,,1992,10.2165/00003495-199244040-00007,
Vascular and renal effects of dopamine during extracellular volume expansion: Role of nitric oxide pathway,"MA, Costa",,,2006,10.1016/j.lfs.2005.07.024,
5-Hydroxytryptamine responses in immature rat rostral ventrolateral medulla neurons in vitro,"LL, Hwang",,,1998,10.1152/jn.1998.80.3.1033,
COMT val158met moderation of dopaminergic drug effects on cognitive function: a critical review,"JP, Schacht",,,2016,10.1038/tpj.2016.43,
Modulation by serotonin of glutamate-induced lethality in mice,"J, Kamei",,,1991,,
Overexpression of the dopamine D3 receptor in the rat dorsal striatum induces dyskinetic behaviors,"SR, Cote",,,2014,10.1016/j.bbr.2014.01.011,
Excitation of locus coeruleus noradrenergic neurons by thyrotropin-releasing hormone,"H, Ishibashi",,,2009,10.1113/jphysiol.2009.181420,
"Attenuation of scopolamine-induced and age-associated memory impairments by the sigma and 5-hydroxytryptamine(1A) receptor agonist OPC-14523 (1-[3-[4-(3-chlorophenyl)-1-piperazinyl]propyl]-5-methoxy-3,4-dihydro-2[1H]-quinolinone monomethanesulfonate)","K, Tottori",,,2002,10.1124/jpet.301.1.249,
Targeting the dopamine D3 receptor: an overview of drug design strategies,"A, Cortés",,,2016,10.1080/17460441.2016.1185413,
New insights into tryptophan and its metabolites in the regulation of bone metabolism,"M, Michalowska",,,2015,,
Intact discrimination reversal learning but slowed responding to reward-predictive cues after dopamine D1 and D2 receptor blockade in the nucleus accumbens of rats,"C, Calaminus",,,2007,10.1007/s00213-006-0532-y,
Localization of (-)-[125I]cyanopindolol binding in guinea-pig heart: characteristics of non-beta-adrenoceptor related binding in cardiac pacemaker and conducting regions,"P, Molenaar",,,1992,10.1016/0304-3940(92)90662-q,
Receptor tyrosine kinase transactivation: fine-tuning synaptic transmission,"SS, Ferguson",,,2003,10.1016/s0166-2236(03)00022-5,
"Influence of age, sex and diurnal variability on imipramine receptor binding and serotonin uptake in platelets of normal subjects","U, Halbreich",,,1991,10.1016/0022-3956(91)90012-y,
Altered regulation of the 5-HT system in the brain of MAO-A knock-out mice,"A, Evrard",,,2002,10.1046/j.1460-9568.2002.01917.x,
Role of the mesolimbic dopamine system in relief learning,"D, Mayer",,,2018,10.1038/s41386-018-0020-1,
L-deprenyl protects mesencephalic dopamine neurons from glutamate receptor-mediated toxicity in vitro,"C, Mytilineou",,,1997,10.1046/j.1471-4159.1997.68010033.x,
"Crosstalk of hypothalamic chemerin, histamine, and AMPK in diet-and olanzapine-induced obesity in rats","DM, Samy",,,2021,10.1016/j.lfs.2021.119897,
Transient neuronal inhibition reveals opposing roles of indirect and direct pathways in sensitization,"SM, Ferguson",,,2011,10.1038/nn.2703,
[Psychiatric disorders and neural mechanisms underlying energy intake and expenditure: a review],"T, Kishi",,,2003,,
Control of the subthalamic innervation of the rat globus pallidus by D2/3 and D4 dopamine receptors,"A, Hernández",,,2006,10.1152/jn.00664.2006,
"Nicotinic receptor-mediated activation by the tobacco-specific nitrosamine NNK of a Raf-1/MAP kinase pathway, resulting in phosphorylation of c-myc in human small cell lung carcinoma cells and pulmonary neuroendocrine cells","BA, Jull",,,2001,10.1007/s004320100289,
Serotonin transduction cascades mediate variable changes in pyloric network cycle frequency in response to the same modulatory challenge,"N, Spitzer",,,2008,10.1152/jn.00986.2007,
Dopamine receptors in emesis: Molecular mechanisms and potential therapeutic function,"L, Belkacemi",,,2020,10.1016/j.phrs.2020.105124,
Decreased prefrontal cortex dopamine activity following adolescent social defeat in male rats: role of dopamine D2 receptors,"MJ, Watt",,,2014,10.1007/s00213-013-3353-9,
The role of serotonin in the enhancement of long-term memory resulting from predator detection in Lymnaea,"J, Il-Han",,,2010,10.1242/jeb.048256,
Serotonin triggers a transient epigenetic mechanism that reinstates adult visual cortex plasticity in rats,"Vetencourt JF, Maya",,,2011,10.1111/j.1460-9568.2010.07488.x,
Cyclic guanosylmonophosphate urinary excretion in parasympathicomimetic or parasympatholytic syndromes induced by reserpine or diphemanil-methylsulfate,"P, Urios",,,1999,10.1016/s0024-3205(98)00541-4,
Nongenomic mechanisms of physiological estrogen-mediated dopamine efflux,"RA, Alyea",,,2009,10.1186/1471-2202-10-59,
Opioidergic and dopaminergic modulation of cost/benefit decision-making in Long Evans Rats,"I, Morales",,,2017,10.1016/j.physbeh.2017.07.019,
Involvement of the dopaminergic system in the consolidation of fear conditioning in hippocampal CA3 subregion,"JL, Wen",,,2015,10.1016/j.bbr.2014.10.049,
Trace amines inhibit the electrically evoked release of [3H]acetylcholine from slices of rat striatum in the presence of pargyline: similarities between beta-phenylethylamine and amphetamine,"P, Baud",,,1985,,
"Repeated nicotine exposure in rats: effects on memory function, cholinergic markers and nerve growth factor","CM, Hernandez",,,2005,10.1016/j.neuroscience.2004.10.006,
Origins and distribution of cholinergically induced beta rhythms in hippocampal slices,"K, Shimono",,,2000,10.1523/jneurosci.20-22-08462.2000,
Paradoxical effects of adenosine receptor ligands on hydroxyl radical generation by L-DOPA in the rat striatum,"K, Gołembiowska",,,2008,,
Repeated cocaine exposure in vivo facilitates LTP induction in midbrain dopamine neurons,"QS, Liu",,,2005,10.1038/nature04050,
Deep brain stimulation and fluoxetine exert different long-term changes in the serotonergic system,"J, Volle",,,2018,10.1016/j.neuropharm.2018.03.005,
"Dopamine-induced plasticity, phospholipase D (PLD) activity and cocaine-cue behavior depend on PLD-linked metabotropic glutamate receptors in amygdala","B, Krishnan",,,2011,10.1371/journal.pone.0025639,
Signaling mechanisms involved in the acute effects of estradiol on 5-HT clearance,"S, Benmansour",,,2014,10.1017/s146114571300165x,
Pharmacological challenge and synaptic response - assessing dopaminergic function in the rat striatum with small animal single-photon emission computed tomography (SPECT) and positron emission tomography (PET),"S, Nikolaus",,,2011,10.1515/rns.2011.054,
"Indoleamine 2,3-dioxygenase inhibition attenuates lipopolysaccharide induced persistent microglial activation and depressive-like complications in fractalkine receptor (CX(3)CR1)-deficient mice","AW, Corona",,,2013,10.1016/j.bbi.2012.08.008,
Histamine pharmacology and new CNS drug targets,"E, Tiligada",,,2011,10.1111/j.1755-5949.2010.00212.x,
Deprenyl treatment attenuates long-term pre- and post-synaptic changes evoked by chronic methamphetamine,"C, Davidson",,,2007,10.1016/j.ejphar.2007.06.046,
"Antidepressant-like effect of 1-(7-methoxy-2-methyl-1,2,3,4-tetrahydro-isoquinolin-4-YL)-cyclohexanol, a putative trace amine receptor ligand involves l-arginine-nitric oxide-cyclic guanosine monophosphate pathway","A, Dhir",,,2011,10.1016/j.neulet.2011.08.020,
Increased locus coeruleus tonic activity causes disengagement from a patch-foraging task,"GA, Kane",,,2017,10.3758/s13415-017-0531-y,
Evidence for multiple receptors mediating fluid secretion in salivary glands of ticks,"WR, Kaufman",,,1983,10.1016/0014-2999(83)90048-1,
Neuronal histamine and cognitive symptoms in Alzheimer's disease,"A, Zlomuzica",,,2016,10.1016/j.neuropharm.2015.05.007,
Down-regulation of cerebellar 5-HT(2C) receptors in pilocarpine-induced epilepsy in rats: therapeutic role of Bacopa monnieri extract,"A, Krishnakumar",,,2009,10.1016/j.jns.2009.04.032,
Lateral hypothalamus-projecting noradrenergic locus coeruleus pathway modulates binge-like ethanol drinking in male and female TH-ires-cre mice,"NW, Burnham",,,2021,10.1016/j.neuropharm.2021.108702,
Analysis of receptor-stimulated and basal guanine nucleotide binding to membrane G proteins by sodium dodecyl sulfate-polyacrylamide gel electrophoresis,"E, Friedman",,,1993,10.1006/abio.1993.1473,
Effects of kappa-opioid receptor agonists on long-term cocaine use and dopamine neurotransmission,"SL, Collins",,,2001,10.1016/s0014-2999(01)01194-3,
Alpha7 nicotinic acetylcholine receptor is a target in pharmacology and toxicology,"M, Pohanka",,,2012,10.3390/ijms13022219,
"Dopamine on D2-like receptors ""reboosts"" dopamine D1-like receptor-mediated behavioural activation in rats licking for sucrose","PS, D'Aquila",,,2010,10.1016/j.neuropharm.2010.01.017,
Role of spinal 5-HT2 receptor subtypes in quipazine-induced hindlimb movements after a low-thoracic spinal cord transection,"RV, Ung",,,2008,10.1111/j.1460-9568.2008.06508.x,
Dopaminergic inhibition of DNA synthesis in pituitary tumor cells is associated with phosphotyrosine phosphatase activity,"T, Florio",,,1992,,
Pharmacological assessment of methamphetamine-induced behavioral hyperactivity mediated by dopaminergic transmission in planarian Dugesia japonica,"N, Tashiro",,,2014,10.1016/j.bbrc.2014.05.059,
"(125I)iodoazidococaine, a photoaffinity label for the haloperidol-sensitive sigma receptor","JR, Kahoun",,,1992,10.1073/pnas.89.4.1393,
Histamine H1-receptor in heart: unique electrophoretic mobility and autoradiographic localization,"M, Ruat",,,1990,10.1111/j.1471-4159.1990.tb04148.x,
Pharmacological characterization of a Bombyx mori alpha-adrenergic-like octopamine receptor stably expressed in a mammalian cell line,"J, Huang",,,2010,10.1002/arch.20341,
Changes in striatal electroencephalography and neurochemistry induced by kainic acid seizures are modified by dopamine receptor antagonists,"JA, Bourne",,,2001,10.1016/s0014-2999(01)00747-6,
Biogenic amine-stimulated adenylate cyclase and spiroperidol-binding sites in rabbit brain: evidence for selective loss of receptors with aging,"MH, Makman",,,1978,10.1007/978-1-4684-8893-7_13,
Increased responsiveness of presumed 5-HT cells to citalopram in adult rats subjected to prolonged maternal separation relative to brief separation,"L, Arborelius",,,2004,10.1007/s00213-004-1883-x,
The role of the globus pallidus D2 subfamily of dopamine receptors in pallidal immediate early gene expression,"JF, Marshall",,,2001,10.1016/s0306-4522(01)00180-4,
Expression and impact of Lsamp neural adhesion molecule in the serotonergic neurotransmission system,"A, Bregin",,,2020,10.1016/j.pbb.2020.173017,
5-Hydroxytryptophan uptake and decarboxylating neurons in the cat hypothalamus,"M, Denoyer",,,1989,10.1016/0306-4522(89)90042-0,
"Self-administration of the endogenous trace amines beta-phenylethylamine, N-methyl phenylethylamine and phenylethanolamine in dogs","HE, Shannon",,,1982,,
"In utero exposure to venlafaxine, a serotonin-norepinephrine reuptake inhibitor, increases cardiac anomalies and alters placental and heart serotonin signaling in the rat","L, Laurent",,,2016,10.1002/bdra.23537,
C. elegans Punctin specifies cholinergic versus GABAergic identity of postsynaptic domains,"B, Pinan-Lucarré",,,2014,10.1038/nature13313,
Constant dopaminergic stimulation by transdermal delivery of dopaminergic drugs: a new treatment paradigm in Parkinson's disease,"M, Steiger",,,2008,10.1111/j.1468-1331.2007.01674.x,
Identification of trace-amine-associated receptors (TAAR) in the rat aorta and their role in vasoconstriction by β-phenylethylamine,"M, Fehler",,,2010,10.1007/s00210-010-0554-1,
Prefrontal and striatal dopamine D(2)/D(3) receptors correlate with fMRI BOLD activation during stopping,"P, Pfeifer",,,2022,10.1007/s11682-021-00491-y,
Current perspectives on the selective regulation of dopamine D₂ and D₃ receptors,"DI, Cho",,,2010,10.1007/s12272-010-1005-8,
Regulation of central corticosteroid receptors following short-term activation of serotonin transmission by 5-hydroxy-L-tryptophan or fluoxetine,"A, Sémont",,,2000,10.1046/j.1365-2826.2000.00509.x,
"Ibotenic acid lesion of nucleus basalis magnocellularis differentially affects cholinergic, glutamatergic and GABAergic markers in cortical rat brain regions","S, Rossner",,,1994,10.1016/0006-8993(94)90514-2,
